cells,cells_outside_expected_support,component_count,component_elongation_median,component_perimeter_sqrt_area_median,component_size_max,component_size_median,component_size_p90,edge_component_count,family,group,map_id,pct_map,quantity_1,quantity_10,quantity_11,quantity_12,quantity_13,quantity_14,quantity_15,quantity_2,quantity_3,quantity_4,quantity_5,quantity_6,quantity_7,quantity_8,quantity_9,quantity_counts,quantity_max,quantity_mean,quantity_median,quantity_min,stock,terrain_counts
46121,0,8777,1.7320508075688776,7.071067811865475,149,2.0,13.0,12,fish,2p,sav_004,7.819451,3720,3058,3034,3076,3000,2996,3050,3032,3048,3037,3069,3022,3024,2939,3016,"{""1"": 3720, ""10"": 3058, ""11"": 3034, ""12"": 3076, ""13"": 3000, ""14"": 2996, ""15"": 3050, ""2"": 3032, ""3"": 3048, ""4"": 3037, ""5"": 3069, ""6"": 3022, ""7"": 3024, ""8"": 2939, ""9"": 3016}",15,7.890917369527981,8.0,1,363937,"{""0"": 3878, ""1"": 3462, ""2"": 3165, ""3"": 2795, ""4"": 2566, ""5"": 2427, ""6"": 2282, ""7"": 25546}"
0,0,0,0.0,0.0,0,0.0,0.0,0,unknown,2p,sav_004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",0,0.0,0.0,0,0,{}
20350,0,1241,1.226976094428092,7.071067811865475,470,2.0,44.0,0,coal,2p,sav_005,3.450182,1299,1321,1329,1393,1394,1339,1301,1425,1346,1296,1358,1384,1398,1389,1378,"{""1"": 1299, ""10"": 1321, ""11"": 1329, ""12"": 1393, ""13"": 1394, ""14"": 1339, ""15"": 1301, ""2"": 1425, ""3"": 1346, ""4"": 1296, ""5"": 1358, ""6"": 1384, ""7"": 1398, ""8"": 1389, ""9"": 1378}",15,7.994742014742015,8.0,1,162693,"{""128"": 2220, ""129"": 538, ""32"": 15257, ""33"": 1670, ""34"": 3, ""35"": 662}"
9135,0,532,1.7320508075688774,7.071067811865475,182,3.0,56.0,0,iron,2p,sav_005,1.548767,608,615,597,626,590,620,589,590,588,646,599,617,651,572,627,"{""1"": 608, ""10"": 615, ""11"": 597, ""12"": 626, ""13"": 590, ""14"": 620, ""15"": 589, ""2"": 590, ""3"": 588, ""4"": 646, ""5"": 599, ""6"": 617, ""7"": 651, ""8"": 572, ""9"": 627}",15,7.99376026272578,8.0,1,73023,"{""128"": 983, ""129"": 223, ""32"": 6894, ""33"": 690, ""34"": 4, ""35"": 341}"
5714,0,266,1.819631172232934,8.73597256530785,155,6.0,60.0,0,gold,2p,sav_005,0.968764,386,376,361,376,412,380,378,389,376,427,367,347,395,351,393,"{""1"": 386, ""10"": 376, ""11"": 361, ""12"": 376, ""13"": 412, ""14"": 380, ""15"": 378, ""2"": 389, ""3"": 376, ""4"": 427, ""5"": 367, ""6"": 347, ""7"": 395, ""8"": 351, ""9"": 393}",15,7.983199159957998,8.0,1,45616,"{""128"": 720, ""129"": 166, ""32"": 4068, ""33"": 524, ""34"": 2, ""35"": 234}"
1954,0,99,1.7446229043818158,8.082903768654761,88,11.0,52.60000000000002,0,gems,2p,sav_005,0.331285,143,129,134,130,143,118,124,122,113,133,134,136,150,126,119,"{""1"": 143, ""10"": 129, ""11"": 134, ""12"": 130, ""13"": 143, ""14"": 118, ""15"": 124, ""2"": 122, ""3"": 113, ""4"": 133, ""5"": 134, ""6"": 136, ""7"": 150, ""8"": 126, ""9"": 119}",15,7.967246673490276,8.0,1,15568,"{""128"": 86, ""129"": 28, ""32"": 1626, ""33"": 153, ""34"": 1, ""35"": 60}"
3552,0,133,1.7320508075688772,9.648363026488436,217,15.0,66.6,0,sulfur,2p,sav_005,0.602214,230,276,244,223,226,243,228,230,233,241,237,248,230,221,242,"{""1"": 230, ""10"": 276, ""11"": 244, ""12"": 223, ""13"": 226, ""14"": 243, ""15"": 228, ""2"": 230, ""3"": 233, ""4"": 241, ""5"": 237, ""6"": 248, ""7"": 230, ""8"": 221, ""9"": 242}",15,8.01295045045045,8.0,1,28462,"{""128"": 734, ""129"": 114, ""32"": 2338, ""33"": 226, ""34"": 1, ""35"": 139}"
40705,0,486,1.7842300666192812,7.89960210171809,4572,3.0,193.0,0,minerals,2p,sav_005,6.901211,2666,2717,2665,2748,2765,2700,2620,2756,2656,2743,2695,2732,2824,2659,2759,"{""1"": 2666, ""10"": 2717, ""11"": 2665, ""12"": 2748, ""13"": 2765, ""14"": 2700, ""15"": 2620, ""2"": 2756, ""3"": 2656, ""4"": 2743, ""5"": 2695, ""6"": 2732, ""7"": 2824, ""8"": 2659, ""9"": 2759}",15,7.993170372190149,8.0,1,325362,"{""128"": 4743, ""129"": 1069, ""32"": 30183, ""33"": 3263, ""34"": 11, ""35"": 1436}"
44452,0,8299,1.7320508075688776,7.071067811865475,137,2.0,13.0,8,fish,2p,sav_005,7.536485,3638,2958,2855,2916,2947,2877,2860,2914,2947,2941,2841,2893,3030,2893,2942,"{""1"": 3638, ""10"": 2958, ""11"": 2855, ""12"": 2916, ""13"": 2947, ""14"": 2877, ""15"": 2860, ""2"": 2914, ""3"": 2947, ""4"": 2941, ""5"": 2841, ""6"": 2893, ""7"": 3030, ""8"": 2893, ""9"": 2942}",15,7.872131737604607,8.0,1,349932,"{""0"": 3025, ""1"": 2879, ""2"": 2569, ""3"": 2314, ""4"": 2102, ""5"": 2063, ""6"": 1948, ""7"": 27552}"
0,0,0,0.0,0.0,0,0.0,0.0,0,unknown,2p,sav_005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""1"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0}",0,0.0,0.0,0,0,{}
