group,map_id,player,runtime_all_r10,runtime_all_r100,runtime_all_r25,runtime_all_r50,runtime_neighborhood_cells_r10,runtime_neighborhood_cells_r100,runtime_neighborhood_cells_r25,runtime_neighborhood_cells_r50,runtime_world_density_r10,runtime_world_density_r100,runtime_world_density_r25,runtime_world_density_r50,runtime_world_r10,runtime_world_r100,runtime_world_r25,runtime_world_r50,start_x,start_y,static_all_r10,static_all_r100,static_all_r25,static_all_r50,static_neighborhood_cells_r10,static_neighborhood_cells_r100,static_neighborhood_cells_r25,static_neighborhood_cells_r50,static_world_density_r10,static_world_density_r100,static_world_density_r25,static_world_density_r50,static_world_r10,static_world_r100,static_world_r25,static_world_r50
20p,sav_010,3,16,408,55,138,331,30301,1951,7651,45.317221,13.4319,27.678114,17.906156,15,407,54,137,625,176,13,396,47,130,331,30301,1951,7651,39.274924,13.068876,24.09021,16.991243,13,396,47,130
20p,sav_010,4,9,414,56,149,331,30301,1951,7651,24.169184,13.629913,28.190671,19.343877,8,413,55,148,621,274,4,387,39,127,331,30301,1951,7651,12.084592,12.771856,19.989749,16.599137,4,387,39,127
20p,sav_010,5,6,338,47,107,331,30301,1951,7651,15.10574,11.121745,23.577652,13.854398,5,337,46,106,466,503,5,330,39,99,331,30301,1951,7651,15.10574,10.89073,19.989749,12.939485,5,330,39,99
20p,sav_010,6,6,361,50,164,331,30301,1951,7651,15.10574,11.880796,25.115325,21.304405,5,360,49,163,518,348,1,346,36,149,331,30301,1951,7651,3.021148,11.418765,18.452076,19.474578,1,346,36,149
20p,sav_010,7,4,352,40,116,331,30301,1951,7651,9.063444,11.583776,19.989749,15.030715,3,351,39,115,253,314,1,330,20,94,331,30301,1951,7651,3.021148,10.89073,10.251153,12.285976,1,330,20,94
20p,sav_010,8,6,354,53,131,331,30301,1951,7651,15.10574,11.649781,26.652998,16.991243,5,353,52,130,592,475,5,346,45,123,331,30301,1951,7651,15.10574,11.418765,23.065095,16.07633,5,346,45,123
20p,sav_010,9,10,434,52,138,331,30301,1951,7651,27.190332,14.289957,26.140441,17.906156,9,433,51,137,478,651,7,419,37,123,331,30301,1951,7651,21.148036,13.827926,18.964634,16.07633,7,419,37,123
20p,sav_010,10,6,285,50,84,331,30301,1951,7651,15.10574,9.339626,25.115325,10.848255,5,283,49,83,228,159,3,255,28,62,331,30301,1951,7651,9.063444,8.415564,14.351615,8.103516,3,255,28,62
20p,sav_010,11,5,406,43,146,331,30301,1951,7651,12.084592,13.365896,21.527422,18.951771,4,405,42,145,604,578,4,396,40,138,331,30301,1951,7651,12.084592,13.068876,20.502307,18.036858,4,396,40,138
20p,sav_010,12,8,418,44,149,331,30301,1951,7651,21.148036,13.761922,22.039979,19.343877,7,417,43,148,367,314,3,403,29,134,331,30301,1951,7651,9.063444,13.299891,14.864172,17.51405,3,403,29,134
20p,sav_010,13,15,328,55,142,331,27970,1951,7651,42.296073,11.655345,27.678114,18.428964,14,326,54,141,337,79,4,291,37,120,331,27970,1951,7651,12.084592,10.404004,18.964634,15.684224,4,291,37,120
20p,sav_010,14,13,332,60,158,331,27601,1951,7651,36.253776,11.992319,30.240902,20.520193,12,331,59,157,384,691,7,317,45,143,331,27601,1951,7651,21.148036,11.485091,23.065095,18.690367,7,317,45,143
20p,sav_010,15,11,373,60,121,331,30301,1951,7651,30.21148,12.276823,30.240902,15.684224,10,372,59,120,118,265,8,351,39,99,331,30301,1951,7651,24.169184,11.583776,19.989749,12.939485,8,351,39,99
20p,sav_010,16,18,326,71,124,331,30301,1951,7651,51.359517,10.692716,35.879036,16.07633,17,324,70,123,110,653,8,295,50,103,331,30301,1951,7651,24.169184,9.735652,25.627883,13.462293,8,295,50,103
20p,sav_010,17,6,357,34,101,331,30301,1951,7651,15.10574,11.715785,16.914403,13.070187,5,355,33,100,633,376,1,337,26,93,331,30301,1951,7651,3.021148,11.121745,13.326499,12.155274,1,337,26,93
20p,sav_010,18,7,324,38,122,331,26035,1951,7651,18.126888,12.367966,18.964634,15.814926,6,322,37,121,201,703,1,288,30,107,331,26035,1951,7651,3.021148,11.062032,15.37673,13.9851,1,288,30,107
20p,sav_010,19,8,342,43,112,331,30301,1951,7651,21.148036,11.18775,21.527422,14.507907,7,339,42,111,290,129,3,306,32,97,331,30301,1951,7651,9.063444,10.098677,16.401845,12.678081,3,306,32,97
20p,sav_010,20,7,501,43,160,331,30301,1951,7651,18.126888,16.468103,21.527422,20.781597,6,499,42,159,217,461,6,478,21,138,331,30301,1951,7651,18.126888,15.775057,10.763711,18.036858,6,478,21,138
20p,sav_011,1,8,244,37,119,331,27725,1951,7651,21.148036,8.764653,18.452076,15.422821,7,243,36,118,625,77,7,243,36,118,331,27725,1951,7651,21.148036,8.764653,18.452076,15.422821,7,243,36,118
20p,sav_011,2,10,325,40,140,331,30301,1951,7651,27.190332,10.692716,19.989749,18.16756,9,324,39,139,641,667,9,324,39,139,331,30301,1951,7651,27.190332,10.692716,19.989749,18.16756,9,324,39,139
